start:id	end:id	RELTYPE	COUNT	DISTANCE
2	17006	TREATS	2	32586.0
2	16115	TREATS	7	1399673.4285714286
2	13981	TREATS	5	131882.8
2	11061	TREATS	2	117163.00000000001
1167294	2	USES	2	47285.5
498457	2	USES	2	105099.0
268776	2	USES	2	1354.0
133599	2	USES	2	2529.0
91595	2	USES	3	1040.0
55682	2	USES	3	353340.6666666667
22936	2	USES	2	1267.0
20006	2	USES	2	962.5
13584	2	USES	2	5818.0
10974	2	USES	3	26449.666666666668
8405	2	USES	2	766.0
3333	2	USES	7	239.28571428571428
625	2	USES	6	2127.3333333333335
9177	3	STIMULATES	2	60011.99999999999
837564	3	LOCATION_OF	4	70.25
819624	3	LOCATION_OF	3	728.0
815490	3	LOCATION_OF	5	1091.2
801364	3	LOCATION_OF	2	1762.5
705288	3	LOCATION_OF	2	115.99999999999999
183576	3	LOCATION_OF	7	443.99999999999994
80326	3	LOCATION_OF	2	6840.0
55187	3	LOCATION_OF	5	791.6
19373	3	LOCATION_OF	6	2585.0
16899	3	LOCATION_OF	2	42031.0
7080	3	LOCATION_OF	7	10644.714285714284
5143	3	LOCATION_OF	9	688.1111111111111
4173	3	LOCATION_OF	2	5819.0
3800	3	LOCATION_OF	3	346345.0
2287	3	LOCATION_OF	2	2191.0
54805	3	ISA	2	72.5
9162	3	INTERACTS_WITH	2	1624.5
3	20295	INTERACTS_WITH	4	2129.75
3	7583	INTERACTS_WITH	2	69126.5
3	1198	INTERACTS_WITH	3	140.0
52057	3	INHIBITS	6	209.66666666666666
20295	3	COEXISTS_WITH	2	4261.5
3	995186	AFFECTS	3	5736.333333333333
5	17762	PRODUCES	2	2115.0
5	3784	PART_OF	2	44905.5
21397	5	LOCATION_OF	3	79923.66666666667
18332	5	LOCATION_OF	2	707459.0
16115	5	LOCATION_OF	5	1959322.0
15300	5	LOCATION_OF	2	7553.500000000001
3800	5	LOCATION_OF	2	519508.5
5	1075	ISA	10	7875.4
37493	5	INTERACTS_WITH	5	576.8
17762	5	INTERACTS_WITH	2	2115.0
5	17762	INTERACTS_WITH	2	2115.0
37493	5	higher_than	2	1445.0
17746	5	CONVERTS_TO	2	145251.5
37493	5	compared_with	2	1445.0
17762	5	COEXISTS_WITH	4	1056.5
5	17762	COEXISTS_WITH	7	602.8571428571429
5	17746	COEXISTS_WITH	10	29048.7
5	7955	COEXISTS_WITH	3	1063.0
6	18332	ADMINISTERED_TO	3	472030.0
6	15099	AFFECTS	3	14108.0
6	80236	AFFECTS	2	65930.5
6	133863	AFFECTS	2	23149.5
6	269113	AFFECTS	3	22064.333333333336
6	3800	AUGMENTS	7	148597.2857142857
6	7828	AUGMENTS	2	12619.5
6	15709	AUGMENTS	4	3278.0
6	16365	AUGMENTS	2	9456.0
6	16673	AUGMENTS	6	5511.5
6	18250	AUGMENTS	2	1409.5
6	80137	AUGMENTS	2	779.5
6	133863	AUGMENTS	4	11573.75
6	269113	AUGMENTS	2	33097.5
6	415141	AUGMENTS	4	654.5
6	460716	AUGMENTS	2	639.0
6	823542	AUGMENTS	2	1166.0
6	824163	AUGMENTS	2	953.5
6	923055	AUGMENTS	2	6693.999999999999
6	418259	CAUSES	2	1476.5
6	833167	CAUSES	4	611.75
6	923055	CAUSES	3	4462.0
6	1056824	CAUSES	3	4131.666666666667
6	506	COEXISTS_WITH	3	8283.0
6	6018	COEXISTS_WITH	2	21197.0
6	8578	COEXISTS_WITH	4	3006.75
6	9177	COEXISTS_WITH	4	30293.5
6	9471	COEXISTS_WITH	3	5979.333333333333
6	16628	COEXISTS_WITH	27	235.07407407407408
133889	6	COEXISTS_WITH	3	20386.333333333332
506	6	COEXISTS_WITH	6	4140.5
531	6	COEXISTS_WITH	2	12861.0
762	6	COEXISTS_WITH	2	4289.5
972	6	COEXISTS_WITH	2	5012.5
4453	6	COEXISTS_WITH	2	5572.5
6332	6	COEXISTS_WITH	5	6615.0
6575	6	COEXISTS_WITH	3	26293.333333333332
8578	6	COEXISTS_WITH	11	1092.090909090909
9158	6	COEXISTS_WITH	4	3437.5
9177	6	COEXISTS_WITH	3	40392.0
9471	6	COEXISTS_WITH	7	2561.4285714285716
11604	6	COEXISTS_WITH	5	5020.4
14295	6	COEXISTS_WITH	2	10784.0
14759	6	COEXISTS_WITH	2	37619.5
16247	6	COEXISTS_WITH	2	23070.5
16628	6	COEXISTS_WITH	4	1598.25
16629	6	COEXISTS_WITH	5	2222.6
19476	6	COEXISTS_WITH	3	22671.666666666668
19937	6	COEXISTS_WITH	2	4709.0
22783	6	COEXISTS_WITH	2	59397.00000000001
51820	6	COEXISTS_WITH	2	1764.9999999999998
6	21119	compared_with	8	1761.6250000000002
6	21118	compared_with	2	734.0
6	3257	compared_with	3	5501.333333333333
6	1107	compared_with	3	1184.6666666666667
28103	6	compared_with	3	501.6666666666667
21119	6	compared_with	5	2819.8
6	823518	DISRUPTS	3	416.00000000000006
6	815529	DISRUPTS	4	27593.5
6	609120	DISRUPTS	2	895.0
6	206054	DISRUPTS	2	15066.999999999998
6	133863	DISRUPTS	6	7715.166666666667
6	16673	DISRUPTS	5	6614.2
6	13173	DISRUPTS	2	2388.5
6	10555	DISRUPTS	5	3028.8
6	10179	DISRUPTS	2	2614.5
6	21119	higher_than	7	2013.5714285714287
6	21118	higher_than	2	734.0
6	1107	higher_than	3	1184.6666666666667
28103	6	higher_than	3	501.6666666666667
21119	6	higher_than	3	4701.0
6	1299590	INHIBITS	3	572.6666666666666
6	1295819	INHIBITS	12	186.25
6	47287	INHIBITS	2	1549.5
6	45042	INHIBITS	2	815.0
6	17689	INHIBITS	2	9813.5
6	16629	INHIBITS	79	138.79746835443038
6	16628	INHIBITS	4	1598.25
6	15709	INHIBITS	2	6558.0
6	11201	INHIBITS	2	2491.5
6	11191	INHIBITS	2	1294.5
6	9471	INHIBITS	4	4484.0
